רשות מקומית,סוג רשות,מחוז,דירוג,אוכלוסייה[1],דירוג.1,שטח שיפוט,דירוג.2,צפיפות[2],דירוג.3,מדד ג'יני[2],מדד חברתי-,דירוג.4,מספר יישובים
קדימה-צורן,מועצה מקומית,המרכז,96,"22,490",125,"10,230",100,"2,151",37,0.4581,8,,
קלנסווה,עירייה,המרכז,93,"22,788",147,"8,400",80,"2,667",202,0.374,2,,
קצרין,מועצה מקומית,הצפון,199,"7,132",131,"9,380",175,757,200,0.3747,5,,
קריית אונו,עירייה,תל אביב,54,"39,986",200,"4,540",13,"8,678",35,0.4584,8,,
קריית ארבע,מועצה מקומית,יהודה ושומרון,196,"7,323",204,"4,400",137,"1,659",157,0.3869,3,,
קריית אתא,עירייה,חיפה,29,"58,267",88,"16,320",53,"3,523",104,0.4127,6,,
קריית ביאליק,עירייה,חיפה,53,"39,927",146,"8,470",36,"4,675",91,0.4203,7,,
קריית גת,עירייה,הדרום,34,"54,973",91,"15,910",56,"3,363",204,0.3737,4,,
קריית טבעון,מועצה מקומית,חיפה,114,"18,121",153,"7,990",97,"2,215",10,0.4836,8,,
קריית ים,עירייה,חיפה,52,"39,909",198,"4,580",14,"8,668",136,0.3975,5,,
קריית יערים,מועצה מקומית,ירושלים,224,"5,565",249,500,10,"9,600",61,0.4379,2,,
קריית מוצקין,עירייה,חיפה,47,"42,014",211,"3,840",7,"10,781",77,0.4278,7,,
קריית מלאכי,עירייה,הדרום,94,"23,124",200,"4,540",32,"4,912",223,0.3615,3,,
קריית עקרון,מועצה מקומית,המרכז,156,"10,999",230,"2,330",35,"4,678",164,0.3853,6,,
קריית שמונה,עירייה,הצפון,89,"22,625",97,"14,560",143,"1,566",201,0.3746,5,,
קרני שומרון,מועצה מקומית,יהודה ושומרון,195,"7,713",157,"7,250",169,"1,021",113,0.4096,6,,
ראמה,מועצה מקומית,הצפון,192,"7,650",171,"6,540",155,"1,162",133,0.3991,4,,
ראש העין,עירייה,המרכז,36,"56,344",93,"15,840",63,"3,188",93,0.4199,7,,
ראש פינה,מועצה מקומית,הצפון,243,"3,120",85,"16,780",210,185,19,0.4731,7,,
ראשון לציון,עירייה,המרכז,4,"251,719",43,"58,860",40,"4,246",92,0.4202,7,,
רהט,עירייה,הדרום,25,"69,032",79,"19,630",54,"3,403",246,0.3356,1,,
רחובות,עירייה,המרכז,12,"141,579",73,"23,720",25,"5,835",65,0.4364,7,,
ריינה,מועצה מקומית,הצפון,108,"18,891",123,"10,800",129,"1,731",207,0.3713,2,,
רכסים,מועצה מקומית,חיפה,150,"12,110",218,"3,250",51,"3,631",79,0.4277,2,,
רמלה,עירייה,המרכז,21,"75,538",112,"12,050",22,"6,282",238,0.3478,4,,
רמת גן,עירייה,תל אביב,11,"159,159",87,"16,400",11,"9,530",49,0.4448,8,,
רמת השרון,עירייה,תל אביב,41,"46,720",86,"16,620",75,"2,768",3,0.5167,9,,
רמת ישי,מועצה מקומית,הצפון,188,"7,722",229,"2,340",58,"3,291",63,0.4376,8,,
רעננה,עירייה,המרכז,23,"73,999",96,"14,820",31,"4,912",7,0.4958,8,,
שבלי - אום אל-גנם,מועצה מקומית,הצפון,214,"5,995",222,"2,920",111,"2,021",240,0.3454,3,,
שגב-שלום,מועצה מקומית,הדרום,164,"10,362",178,"6,010",139,"1,647",253,0.3167,1,,
שדרות,עירייה,הדרום,77,"26,455",175,"6,300",43,"3,984",196,0.3767,5,,
